x0,y0,x1,y1,score,label
27172,2025,27194,2050,0.2925,2
27132,2417,27166,2441,0.2227,2
27382,2110,27400,2127,0.2568,2
26888,2193,26908,2212,0.2496,2
27372,2326,27418,2362,0.2411,-100
27784,2414,27824,2456,0.7803,1
27524,2304,27556,2334,0.5942,2
27691,2064,27727,2099,0.4011,2
27617,2268,27639,2290,0.6675,2
27861,2424,27900,2480,0.7915,2
27622,1958,27650,1992,0.4216,3
27515,2188,27550,2227,0.7607,2
27608,2291,27635,2326,0.7578,2
27728,2015,27761,2054,0.5522,1
27636,2095,27662,2116,0.5522,2
27797,2045,27829,2095,0.7339,2
27435,2326,27456,2356,0.519,2
27392,2298,27427,2332,0.5654,2
27442,2242,27474,2270,0.2861,2
27572,2324,27616,2350,0.7324,2
27398,2251,27424,2272,0.5698,2
27428,2155,27463,2179,0.6982,2
27622,2418,27651,2466,0.4922,2
27882,2381,27910,2424,0.6982,2
27398,2109,27420,2147,0.4541,2
27446,2270,27475,2290,0.5693,2
27548,2428,27584,2460,0.665,1
27511,1982,27541,2011,0.3723,2
27697,2289,27719,2320,0.6289,2
27570,1992,27624,2032,0.4177,2
27510,2023,27552,2065,0.4341,2
27603,2392,27630,2416,0.4033,1
27582,2200,27614,2230,0.6685,2
27652,2452,27686,2494,0.6904,1
27428,2421,27457,2438,0.5669,2
27405,2167,27431,2192,0.5786,2
27836,2240,27864,2270,0.6777,2
27400,2399,27424,2414,0.5757,2
27872,2241,27892,2266,0.6743,2
27788,2343,27816,2382,0.6777,2
27398,2065,27425,2096,0.52,2
27755,2409,27781,2424,0.3801,1
27690,2216,27712,2240,0.6704,2
27566,2187,27591,2208,0.542,2
27456,2432,27476,2450,0.4014,2
27442,1959,27463,1992,0.3179,1
27794,2177,27819,2196,0.6377,2
27753,2102,27774,2123,0.4094,3
27772,2166,27794,2196,0.6108,2
27693,2161,27735,2207,0.6562,2
27781,2150,27798,2170,0.5151,2
27466,2364,27486,2393,0.3826,2
27888,2024,27914,2053,0.3025,1
27541,1987,27568,2020,0.5273,2
27389,2332,27421,2362,0.3291,2
27866,2138,27895,2174,0.5361,2
27628,2157,27644,2176,0.5229,2
27404,1989,27432,2033,0.3784,2
27448,1968,27478,2018,0.3892,2
27532,2173,27547,2202,0.522,2
27641,1999,27664,2014,0.2996,2
27778,2092,27807,2132,0.2001,2
27820,2107,27832,2125,0.2333,3
27586,2260,27598,2286,0.3645,2
27479,1995,27498,2015,0.2372,1
27777,2110,27804,2134,0.407,-100
27654,2340,27667,2360,0.2861,2
27902,2320,27918,2350,0.3862,2
27794,1956,27816,1979,0.3213,2
27848,2069,27860,2082,0.2198,3
27858,2031,27875,2048,0.3103,-100
27556,1986,27572,2005,0.1765,3
27543,2456,27571,2480,0.2389,1
27680,1977,27710,1990,0.2338,-100
27459,2414,27474,2426,0.1755,2
27397,2000,27417,2027,0.2079,-100
27568,2007,27598,2032,0.1685,1
27421,2093,27433,2122,0.1779,-100
27454,2456,27473,2471,0.1542,2
27650,2194,27676,2221,0.1528,2
27779,2089,27804,2111,0.1533,-100
28093,2363,28118,2397,0.6772,3
28253,2343,28278,2388,0.6895,2
27998,2352,28028,2394,0.8057,2
28150,2381,28171,2410,0.8022,3
